VEHICLE_NAME,VEHICLE_TID,ORGUNIT_NAME,VEHICLE_MODEL,VEHICLE_ID,ORGUNIT_ID,OPD_DATE
8545,8545,GoBus,DDSB,8545,1844976,25-FEB-23
8546,8546,GoBus,DDSB,8546,1844976,22-MAR-23
8547,8547,GoBus,DDSB,8547,1844976,22-MAR-23
8548,8548,GoBus,DDS 2018,8548,1844976,14-AUG-22
8549,8549,GoBus,DDSB,8549,1844976,22-MAR-23
8550,8550,GoBus,DDSB,8550,1844976,22-MAR-23
8551,8551,GoBus,DDSB,8551,1844976,15-MAR-23
8552,8552,GoBus,DDS 2018,8552,1844976,02-JUL-22
8553,8553,GoBus,DDS 2018,8553,1844976,08-APR-22
8554,8554,GoBus,DDSB,8554,1844976,22-MAR-23
8555,8555,GoBus,DDSB,8555,1844976,22-MAR-23
8556,8556,GoBus,DDS 2018,8556,1844976,14-SEP-22
8557,8557,GoBus,DDSB,8557,1844976,22-MAR-23
8558,8558,GoBus,DDSB,8558,1844976,22-MAR-23
8559,8559,GoBus,DDSB,8559,1844976,09-MAR-23
8560,8560,GoBus,DDSB,8560,1844976,09-MAR-23
8561,8561,GoBus,DDSB,8561,1844976,22-MAR-23
8562,8562,GoBus,DDSB,8562,1844976,22-MAR-23
8563,8563,GoBus,DDSB,8563,1844976,22-MAR-23
8564,8564,GoBus,DDSB,8564,1844976,22-MAR-23
